chunk_id,sum_nats,n_bytes
span_00000,521.054932,800
span_00001,769.646057,800
span_00002,808.255249,800
span_00003,742.420776,800
span_00004,526.120728,800
span_00005,452.780609,800
span_00006,466.683197,800
span_00007,315.251831,800
span_00008,803.668823,800
span_00009,715.647461,800
span_00010,650.840698,800
span_00011,523.131714,800
span_00012,412.442627,800
span_00013,571.482300,800
span_00014,504.918640,800
span_00015,560.367981,800
span_00016,777.797852,800
span_00017,564.259460,800
span_00018,641.050781,800
span_00019,494.523499,800
span_00020,562.332764,800
span_00021,571.487793,800
span_00022,690.924805,800
span_00023,740.014771,800
span_00024,646.478088,800
span_00025,592.656799,800
span_00026,674.650940,800
span_00027,649.811951,800
span_00028,671.173828,800
span_00029,519.829346,800
span_00030,311.615234,800
span_00031,488.489502,800
span_00032,622.614502,800
span_00033,702.050049,800
span_00034,779.162598,800
span_00035,821.644775,800
span_00036,797.846069,800
span_00037,882.918823,800
span_00038,967.032288,800
span_00039,674.080078,800
span_00040,552.741760,800
span_00041,540.916504,800
span_00042,428.174652,800
span_00043,653.352539,801
span_00044,704.646240,800
span_00045,686.741333,802
span_00046,719.931396,800
span_00047,682.506592,800
span_00048,764.077759,800
span_00049,661.359314,800
span_00050,655.690308,800
span_00051,663.057373,800
span_00052,602.388123,800
span_00053,600.218079,800
span_00054,584.503662,800
span_00055,607.298950,800
span_00056,473.819824,800
span_00057,558.054688,800
span_00058,585.747559,800
span_00059,617.480225,800
span_00060,560.212158,800
span_00061,562.313110,800
span_00062,507.858215,800
span_00063,636.917969,801
span_00064,646.654602,800
span_00065,694.284790,800
span_00066,643.715332,800
span_00067,596.463501,800
span_00068,672.814209,800
span_00069,473.080444,800
span_00070,425.984558,800
span_00071,320.436249,800
span_00072,521.632324,800
span_00073,550.440002,800
span_00074,655.286682,800
span_00075,657.779785,800
span_00076,558.619263,800
span_00077,480.584778,800
span_00078,650.317566,802
span_00079,573.603882,800
span_00080,547.307678,802
span_00081,597.904907,800
span_00082,568.795105,800
span_00083,485.336304,800
span_00084,368.338409,800
span_00085,421.743896,800
span_00086,417.512573,800
span_00087,424.811249,800
span_00088,454.410614,800
span_00089,416.544281,800
span_00090,425.491058,800
span_00091,259.660248,800
span_00092,404.189697,800
span_00093,448.735962,800
span_00094,449.339447,800
span_00095,479.787476,800
span_00096,431.583191,800
span_00097,439.641846,800
span_00098,491.101715,800
span_00099,414.060913,800
span_00100,484.168335,800
span_00101,456.460907,800
span_00102,423.102173,800
span_00103,492.795929,800
span_00104,487.385864,800
span_00105,464.346405,800
span_00106,427.004150,800
span_00107,471.187256,800
span_00108,421.569092,800
span_00109,579.284302,800
span_00110,742.624390,800
span_00111,592.857727,800
span_00112,350.504272,800
span_00113,460.818481,800
span_00114,482.206360,800
span_00115,361.062683,800
