chunk_id,sum_nats,n_bytes
span_00000,504.248352,800
span_00001,742.774170,800
span_00002,739.005493,800
span_00003,720.151245,800
span_00004,510.977966,800
span_00005,406.298706,800
span_00006,437.548767,800
span_00007,299.075500,800
span_00008,808.837402,800
span_00009,715.524963,800
span_00010,619.514160,800
span_00011,516.357910,800
span_00012,375.030487,800
span_00013,545.102783,800
span_00014,503.300354,800
span_00015,505.017029,800
span_00016,737.088501,800
span_00017,540.362915,800
span_00018,610.690186,800
span_00019,481.342163,800
span_00020,576.327393,800
span_00021,585.075073,800
span_00022,659.939087,800
span_00023,719.372925,800
span_00024,649.851990,800
span_00025,574.242432,800
span_00026,681.529236,800
span_00027,638.141235,800
span_00028,635.759888,800
span_00029,515.463867,800
span_00030,292.553467,800
span_00031,473.183136,800
span_00032,618.831116,800
span_00033,676.263794,800
span_00034,746.698303,800
span_00035,792.593994,800
span_00036,766.456116,800
span_00037,822.792114,800
span_00038,919.294922,800
span_00039,624.216553,800
span_00040,543.855591,800
span_00041,507.813507,800
span_00042,400.876160,800
span_00043,650.871460,801
span_00044,665.831787,800
span_00045,676.743469,802
span_00046,715.871094,800
span_00047,682.636658,800
span_00048,735.236206,800
span_00049,626.183716,800
span_00050,653.232910,800
span_00051,644.852051,800
span_00052,598.150635,800
span_00053,604.335754,800
span_00054,600.410278,800
span_00055,665.386169,800
span_00056,488.587372,800
span_00057,564.587463,800
span_00058,581.130249,800
span_00059,618.909119,800
span_00060,551.742371,800
span_00061,559.166016,800
span_00062,529.856445,800
span_00063,628.023926,801
span_00064,636.333008,800
span_00065,681.546753,800
span_00066,653.756714,800
span_00067,599.464600,800
span_00068,630.484131,800
span_00069,471.209961,800
span_00070,417.150146,800
span_00071,335.840698,800
span_00072,502.090485,800
span_00073,536.268066,800
span_00074,628.575562,800
span_00075,666.159729,800
span_00076,537.043518,800
span_00077,464.235291,800
span_00078,632.166626,802
span_00079,544.662415,800
span_00080,547.976929,802
span_00081,612.823120,800
span_00082,557.307983,800
span_00083,459.977112,800
span_00084,340.023804,800
span_00085,411.235046,800
span_00086,436.668732,800
span_00087,428.201538,800
span_00088,455.877686,800
span_00089,408.426331,800
span_00090,426.433472,800
span_00091,256.585938,800
span_00092,395.548431,800
span_00093,441.083527,800
span_00094,435.846069,800
span_00095,499.467590,800
span_00096,447.721130,800
span_00097,458.443115,800
span_00098,512.843140,800
span_00099,446.920044,800
span_00100,477.966370,800
span_00101,469.572601,800
span_00102,457.626953,800
span_00103,520.282532,800
span_00104,479.200806,800
span_00105,472.375793,800
span_00106,450.150024,800
span_00107,462.631165,800
span_00108,432.552063,800
span_00109,573.633118,800
span_00110,711.731323,800
span_00111,539.036194,800
span_00112,343.068115,800
span_00113,443.704773,800
span_00114,462.479492,800
span_00115,370.561310,800
span_00116,491.832458,800
span_00117,457.403778,800
span_00118,380.641510,800
span_00119,456.188782,800
span_00120,604.986572,800
span_00121,680.851562,800
span_00122,885.425354,800
span_00123,450.968018,800
span_00124,748.551331,800
span_00125,687.167175,800
span_00126,762.874573,800
span_00127,710.903687,800
span_00128,646.995850,800
span_00129,700.671509,800
span_00130,659.884888,800
span_00131,564.251038,800
span_00132,678.480103,800
span_00133,698.919922,800
span_00134,636.325928,800
span_00135,670.916321,800
span_00136,675.869141,800
span_00137,716.645386,800
span_00138,726.916626,800
span_00139,653.424133,800
span_00140,645.294312,800
span_00141,606.068848,800
span_00142,666.592285,800
span_00143,758.157959,800
span_00144,712.874268,800
span_00145,628.572876,800
span_00146,688.055664,800
span_00147,613.703308,800
span_00148,669.202576,800
span_00149,672.529175,800
span_00150,555.554443,800
span_00151,613.594604,800
span_00152,660.634521,800
span_00153,673.685547,800
span_00154,508.514221,800
span_00155,444.496521,800
span_00156,626.033691,800
span_00157,535.331787,800
span_00158,488.280121,801
span_00159,508.941772,800
span_00160,509.677917,800
span_00161,608.049194,800
span_00162,696.831848,800
span_00163,648.177429,800
span_00164,690.739990,800
span_00165,635.501465,800
span_00166,610.145447,800
span_00167,572.545227,800
span_00168,661.638611,800
span_00169,615.945557,800
span_00170,609.343018,800
span_00171,678.267456,800
span_00172,595.302856,800
span_00173,587.503235,800
span_00174,676.564209,800
span_00175,690.400940,800
span_00176,589.806152,800
span_00177,623.847412,800
span_00178,570.889038,800
span_00179,674.124146,801
span_00180,651.399719,800
span_00181,638.193848,800
span_00182,712.292542,800
span_00183,638.125732,800
span_00184,343.957275,800
span_00185,497.811859,800
span_00186,438.238159,800
span_00187,625.925720,800
span_00188,545.616333,800
span_00189,432.438019,800
span_00190,286.225220,800
span_00191,377.370605,800
span_00192,428.875214,800
span_00193,681.513184,800
span_00194,586.516602,800
span_00195,648.938232,800
span_00196,556.781921,800
span_00197,621.710693,800
span_00198,625.734985,800
span_00199,552.073486,800
span_00200,711.161011,800
span_00201,573.374207,800
span_00202,668.988037,800
span_00203,647.750427,800
span_00204,582.486084,800
span_00205,638.641235,800
span_00206,535.604126,800
span_00207,427.464417,800
span_00208,425.016052,800
span_00209,391.828796,801
span_00210,529.984985,800
span_00211,566.936951,800
span_00212,535.773682,800
span_00213,519.296753,800
span_00214,589.259521,800
span_00215,475.278198,800
span_00216,559.952881,800
span_00217,473.663208,800
span_00218,477.507294,800
span_00219,505.630066,800
span_00220,543.241577,800
span_00221,575.941772,800
span_00222,570.855835,800
span_00223,574.687927,800
span_00224,540.431641,800
span_00225,494.107971,800
span_00226,581.743774,800
span_00227,537.013184,800
span_00228,573.323547,800
span_00229,475.586975,800
span_00230,502.423279,800
span_00231,480.054810,800
span_00232,648.938965,800
span_00233,710.294067,800
span_00234,616.707520,800
span_00235,492.888550,800
span_00236,586.874878,800
span_00237,643.969604,800
span_00238,705.094299,800
span_00239,554.617065,800
span_00240,528.108032,800
span_00241,601.418335,800
span_00242,556.225525,800
span_00243,518.396484,801
span_00244,574.838379,800
span_00245,565.743774,800
span_00246,552.215881,800
span_00247,543.745117,800
span_00248,540.547485,800
span_00249,600.815857,800
span_00250,514.934326,800
span_00251,570.712158,800
span_00252,568.838379,800
span_00253,507.670837,800
span_00254,702.507080,800
span_00255,709.561951,800
span_00256,717.144165,800
span_00257,737.102417,800
span_00258,701.877380,800
span_00259,761.182983,800
span_00260,730.787354,800
span_00261,504.976807,800
span_00262,493.311798,800
span_00263,604.349487,800
span_00264,651.774231,800
span_00265,636.722656,800
span_00266,720.218628,800
span_00267,702.985229,800
span_00268,630.044189,800
span_00269,704.158936,800
span_00270,675.736206,800
span_00271,560.098877,800
span_00272,677.905762,800
span_00273,514.631470,800
span_00274,493.295166,800
span_00275,517.731689,800
span_00276,588.981201,800
span_00277,526.445740,800
span_00278,602.564209,800
span_00279,562.571655,800
span_00280,498.848938,800
span_00281,562.295593,800
span_00282,553.082642,800
span_00283,512.011963,800
span_00284,434.195435,800
span_00285,412.811432,800
span_00286,630.576904,800
span_00287,583.637939,800
span_00288,503.191803,800
span_00289,497.870697,801
span_00290,406.772095,800
span_00291,509.546173,800
span_00292,593.411194,800
span_00293,806.458374,800
span_00294,459.190186,800
span_00295,563.137451,802
span_00296,500.776489,800
span_00297,661.172302,800
span_00298,666.979126,800
span_00299,708.088135,800
span_00300,620.291077,800
span_00301,639.319336,800
span_00302,640.459900,800
span_00303,735.299316,800
span_00304,615.108459,800
span_00305,415.746094,800
span_00306,645.113892,800
span_00307,631.245972,800
span_00308,560.298828,800
span_00309,544.560364,800
span_00310,636.136719,800
span_00311,682.778870,801
span_00312,625.792847,800
span_00313,613.356812,800
span_00314,591.566895,800
span_00315,589.971924,800
span_00316,629.295654,800
span_00317,402.497009,800
span_00318,504.624756,800
span_00319,627.882202,800
span_00320,441.327454,800
span_00321,435.130524,800
span_00322,759.393311,800
span_00323,675.144409,800
span_00324,585.541199,800
span_00325,848.026978,800
span_00326,765.509949,800
span_00327,1032.625977,800
span_00328,785.493896,800
span_00329,721.353210,800
span_00330,696.932617,800
span_00331,958.015503,800
span_00332,885.920593,800
span_00333,746.548157,802
span_00334,736.931641,802
span_00335,823.363647,800
span_00336,861.308411,800
span_00337,802.992920,800
span_00338,781.434753,800
span_00339,767.843323,800
span_00340,826.769165,800
span_00341,893.244385,800
span_00342,790.513550,800
span_00343,972.596375,800
span_00344,845.165771,800
span_00345,837.642090,800
span_00346,980.498474,800
span_00347,908.521118,800
span_00348,651.010559,800
span_00349,699.613403,800
span_00350,638.886292,800
span_00351,613.342041,800
span_00352,749.693237,800
span_00353,665.526855,800
span_00354,815.853394,800
span_00355,587.522949,800
span_00356,630.123413,800
span_00357,559.243164,800
span_00358,539.529175,800
span_00359,599.442200,800
span_00360,692.545288,801
span_00361,599.204224,800
span_00362,593.360046,800
span_00363,694.560425,800
span_00364,679.275391,800
span_00365,605.087830,800
span_00366,618.680908,800
span_00367,583.053589,800
span_00368,390.169617,800
span_00369,388.396667,800
span_00370,304.007629,800
span_00371,398.965271,800
span_00372,418.390411,800
span_00373,547.186157,800
span_00374,558.319031,800
span_00375,542.324951,800
span_00376,546.412964,800
span_00377,627.759949,800
span_00378,663.536865,800
span_00379,704.431946,800
span_00380,612.385132,800
span_00381,669.466675,800
span_00382,671.991028,800
span_00383,736.213806,800
span_00384,639.238037,800
span_00385,630.351135,800
span_00386,304.928833,800
span_00387,382.468781,800
span_00388,332.664551,800
