chunk_id,sum_nats,n_bytes
span_00000,613.975220,800
span_00001,721.023865,800
span_00002,744.631348,800
span_00003,713.577148,800
span_00004,567.022339,800
span_00005,438.964355,800
span_00006,440.947144,800
span_00007,307.820923,800
span_00008,807.774902,800
span_00009,684.338867,800
span_00010,474.230499,800
span_00011,480.163513,800
span_00012,360.534424,800
span_00013,565.083130,800
span_00014,490.487366,800
span_00015,571.173767,800
span_00016,740.327515,800
span_00017,545.997192,800
span_00018,625.143188,800
span_00019,459.451508,800
span_00020,583.531372,800
span_00021,582.036377,800
span_00022,710.806030,800
span_00023,681.521851,800
span_00024,666.022522,800
span_00025,578.298340,800
span_00026,642.130615,800
span_00027,607.361755,800
span_00028,647.563538,800
span_00029,515.495117,800
span_00030,322.916565,800
span_00031,556.906982,800
span_00032,645.426086,800
span_00033,724.040527,800
span_00034,740.372253,800
span_00035,790.341248,800
span_00036,695.931274,800
span_00037,478.389557,800
span_00038,734.453796,800
span_00039,612.345459,800
span_00040,561.843079,800
span_00041,562.498352,800
span_00042,438.493713,800
span_00043,694.629761,801
span_00044,680.542725,800
span_00045,712.989197,802
span_00046,777.961182,800
span_00047,731.739502,800
span_00048,749.543091,800
span_00049,669.440674,800
span_00050,684.760925,800
span_00051,692.241089,800
span_00052,631.618835,800
span_00053,586.043457,800
span_00054,617.009766,800
span_00055,605.200317,800
span_00056,488.930328,800
span_00057,565.502686,800
span_00058,597.404114,800
span_00059,613.433105,800
span_00060,580.856506,800
span_00061,563.877319,800
span_00062,579.838745,800
span_00063,649.663086,801
span_00064,642.402954,800
span_00065,706.099670,800
span_00066,626.700439,800
span_00067,603.774902,800
span_00068,687.891357,800
span_00069,480.681488,800
span_00070,467.174500,800
span_00071,366.223145,800
span_00072,491.707520,800
span_00073,558.297729,800
span_00074,586.430542,800
span_00075,638.160278,800
span_00076,509.282623,800
span_00077,452.888733,800
span_00078,617.469116,802
span_00079,571.542236,800
span_00080,567.619324,802
span_00081,598.614502,800
span_00082,520.153381,800
span_00083,474.702332,800
span_00084,401.487518,800
span_00085,433.564240,800
span_00086,425.532928,800
span_00087,424.879578,800
span_00088,458.027039,800
span_00089,414.817749,800
span_00090,422.284393,800
span_00091,268.970917,800
