chunk_id,sum_nats,n_bytes
span_00000,605.114929,800
span_00001,716.983032,800
span_00002,744.702698,800
span_00003,718.383057,800
span_00004,565.209839,800
span_00005,438.186829,800
span_00006,445.706635,800
span_00007,315.451050,800
span_00008,799.093323,800
span_00009,690.741211,800
span_00010,465.271729,800
span_00011,473.245667,800
span_00012,367.917542,800
span_00013,560.416016,800
span_00014,484.544373,800
span_00015,564.062256,800
span_00016,730.127502,800
span_00017,535.630615,800
span_00018,615.878113,800
span_00019,451.236450,800
span_00020,585.995239,800
span_00021,574.744141,800
span_00022,718.417236,800
span_00023,672.212891,800
span_00024,656.964478,800
span_00025,576.526855,800
span_00026,638.197449,800
span_00027,601.315918,800
span_00028,652.665771,800
span_00029,524.080627,800
span_00030,326.737518,800
span_00031,558.036987,800
span_00032,643.796692,800
span_00033,705.910583,800
span_00034,740.231689,800
span_00035,789.526123,800
span_00036,693.593506,800
span_00037,482.625793,800
span_00038,732.882812,800
span_00039,603.369385,800
span_00040,543.262512,800
span_00041,563.031982,800
span_00042,443.909851,800
span_00043,689.511536,801
span_00044,689.832520,800
span_00045,708.637451,802
span_00046,774.276794,800
span_00047,727.849121,800
span_00048,767.428955,800
span_00049,667.080994,800
span_00050,690.951782,800
span_00051,696.227417,800
span_00052,609.269531,800
span_00053,593.542603,800
span_00054,612.115967,800
span_00055,601.585449,800
span_00056,489.971985,800
span_00057,559.257080,800
span_00058,590.794678,800
span_00059,631.076416,800
span_00060,566.580444,800
span_00061,563.095703,800
span_00062,583.065002,800
span_00063,643.251343,801
span_00064,639.089905,800
span_00065,717.180908,800
span_00066,622.874146,800
span_00067,601.329224,800
span_00068,677.531738,800
span_00069,473.494080,800
span_00070,468.125000,800
span_00071,368.133118,800
span_00072,493.681213,800
span_00073,558.764160,800
span_00074,586.969360,800
span_00075,631.631958,800
span_00076,505.948456,800
span_00077,459.491272,800
span_00078,614.535400,802
span_00079,572.943420,800
span_00080,564.718506,802
span_00081,603.561890,800
span_00082,514.150757,800
span_00083,462.946350,800
span_00084,389.515900,800
span_00085,427.207642,800
span_00086,427.091492,800
span_00087,426.794342,800
span_00088,448.945953,800
span_00089,413.195740,800
span_00090,419.888916,800
span_00091,269.599060,800
span_00092,398.722717,800
span_00093,444.412018,800
span_00094,443.942566,800
span_00095,442.061920,800
span_00096,414.056030,800
span_00097,427.563049,800
span_00098,440.830872,800
span_00099,434.640930,800
span_00100,469.542938,800
span_00101,423.722717,800
span_00102,454.256195,800
span_00103,499.797485,800
span_00104,485.847656,800
span_00105,464.946960,800
span_00106,406.558624,800
span_00107,443.021362,800
span_00108,424.927673,800
span_00109,675.304626,800
span_00110,684.836548,800
span_00111,595.586365,800
span_00112,376.061035,800
span_00113,440.264801,800
span_00114,465.430817,800
span_00115,397.233337,800
span_00116,460.494202,800
span_00117,488.832703,800
span_00118,419.839233,800
span_00119,462.065186,800
span_00120,634.644409,800
span_00121,662.964783,800
span_00122,726.242188,800
span_00123,500.232483,800
span_00124,703.071777,800
span_00125,679.962402,800
span_00126,728.947693,800
span_00127,735.092651,800
span_00128,726.379761,800
span_00129,712.085693,800
span_00130,709.943604,800
span_00131,573.478760,800
span_00132,687.973145,800
span_00133,707.638184,800
span_00134,658.161255,800
span_00135,713.803467,800
span_00136,671.055115,800
span_00137,749.385803,800
span_00138,783.339844,800
span_00139,689.156433,800
span_00140,673.424683,800
span_00141,635.853271,800
span_00142,728.449402,800
span_00143,793.769226,800
span_00144,805.431641,800
span_00145,656.386597,800
span_00146,724.591736,800
span_00147,631.661194,800
span_00148,651.396912,800
span_00149,666.167480,800
span_00150,600.675049,800
span_00151,594.613647,800
span_00152,591.464050,800
span_00153,674.389099,800
span_00154,531.387878,800
span_00155,451.779907,800
span_00156,656.309082,800
span_00157,540.487000,800
span_00158,512.349548,801
span_00159,536.222168,800
span_00160,515.823853,800
span_00161,645.450684,800
span_00162,734.875000,800
span_00163,723.677490,800
span_00164,719.995117,800
span_00165,669.933533,800
span_00166,681.747314,800
span_00167,609.456238,800
span_00168,705.480957,800
span_00169,672.546265,800
span_00170,658.807861,800
span_00171,724.893860,800
span_00172,637.599609,800
span_00173,647.278687,800
span_00174,725.333496,800
span_00175,728.671509,800
span_00176,632.069946,800
span_00177,681.730469,800
span_00178,602.904419,800
span_00179,750.103760,801
span_00180,668.535461,800
span_00181,672.553467,800
span_00182,765.449707,800
span_00183,665.905823,800
span_00184,322.178375,800
span_00185,507.992371,800
span_00186,443.715088,800
span_00187,573.216125,800
span_00188,590.368591,800
span_00189,500.436829,800
span_00190,338.130127,800
span_00191,410.008728,800
span_00192,442.169678,800
span_00193,692.901855,800
span_00194,629.707031,800
span_00195,680.936157,800
span_00196,579.802979,800
span_00197,658.911316,800
span_00198,640.664551,800
span_00199,607.656616,800
span_00200,730.636719,800
span_00201,608.377197,800
span_00202,676.060547,800
span_00203,646.851562,800
span_00204,639.660828,800
span_00205,679.370972,800
span_00206,553.205383,800
span_00207,479.725525,800
span_00208,424.741699,800
span_00209,505.614960,801
span_00210,559.074158,800
span_00211,598.213318,800
span_00212,569.507019,800
span_00213,544.935364,800
span_00214,629.562256,800
span_00215,492.511566,800
span_00216,566.823730,800
span_00217,475.298767,800
span_00218,507.890198,800
span_00219,537.315125,800
span_00220,561.184570,800
span_00221,595.242371,800
span_00222,617.301331,800
